id,timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,1715374776.249335,0.26,-0.08,1.03,17.46,3.78,-2.87
8,1715374776.259873,0.23,-0.1,1.04,2.81,-0.06,3.05
37,1715374776.298226,0.19,-0.11,1.02,-8.79,3.6,9.46
67,1715374776.337105,0.16,-0.14,1.06,-1.53,-8.42,25.02
94,1715374776.374405,0.14,-0.02,0.92,-3.78,-0.92,47.18
125,1715374776.414578,0.09,0.05,0.75,-3.78,-0.92,47.18
126,1715374776.415917,0.09,0.05,0.75,-40.22,18.62,74.1
154,1715374776.452648,-0.11,-0.12,0.46,-40.22,18.62,74.1
156,1715374776.455227,-0.11,-0.12,0.46,-80.2,18.43,72.57
183,1715374776.490052,-0.07,0.12,0.26,-73.18,-25.82,52.06
214,1715374776.530507,-0.12,0.13,-0.04,-135.5,-5.19,65.37
243,1715374776.568251,-0.11,-0.02,-0.22,-212.46,-2.56,29.24
272,1715374776.606437,0.34,-0.33,-0.36,-212.46,-2.56,29.24
273,1715374776.607757,0.34,-0.33,-0.36,-292.18,-15.69,40.83
302,1715374776.645678,0.76,-0.89,-0.74,-292.18,-15.69,40.83
303,1715374776.646978,0.76,-0.89,-0.74,-348.57,84.47,58.17
331,1715374776.683572,1.29,-2.25,-1.25,-348.57,84.47,58.17
333,1715374776.68613,1.29,-2.25,-1.25,-430.11,29.17,-29.6
362,1715374776.72348,1.87,-3.99,-1.24,-412.66,200.13,-32.23
393,1715374776.763481,1.94,-5.11,-0.47,-228.15,408.87,57.98
423,1715374776.802356,1.82,-4.53,0.17,73.97,363.28,-104.19
452,1715374776.840216,0.95,-4.03,-0.06,94.67,172.12,-312.87
481,1715374776.877975,0.24,-3.48,0.45,94.67,172.12,-312.87
483,1715374776.880629,0.24,-3.48,0.45,128.3,191.41,-308.41
511,1715374776.917121,-0.2,-2.96,0.38,199.58,98.69,-318.73
541,1715374776.955959,-0.51,-2.53,0.18,199.58,98.69,-318.73
544,1715374776.959829,-0.51,-2.53,0.18,245.73,-18.07,-381.1
572,1715374776.996563,-0.5,-2.39,0.01,206.85,-96.31,-426.21
604,1715374777.037919,-0.47,-2.31,-0.07,182.31,-104.49,-455.69
654,1715374777.102543,-0.39,-2.13,-0.15,182.31,-104.49,-455.69
655,1715374777.103855,-0.39,-2.13,-0.15,136.66,-72.14,-448.91
659,1715374777.108763,-0.28,-1.95,-0.12,136.66,-72.14,-448.91
661,1715374777.111365,-0.28,-1.95,-0.12,65.67,-67.32,-459.35
688,1715374777.147823,0.01,-1.91,-0.17,-26.92,-100.22,-483.58
718,1715374777.187048,-0.14,-1.78,-0.43,-109.68,-104.37,-494.08
748,1715374777.22497,-1.52,-1.03,-0.04,-234.74,-162.23,-475.77
778,1715374777.263856,-4.89,-0.34,2.16,-234.74,-162.23,-475.77
780,1715374777.266477,-4.89,-0.34,2.16,-242.98,-113.95,-250.49
809,1715374777.304143,-5.56,-0.56,2.9,3.36,-65.61,-31.13
837,1715374777.340172,-4.85,-0.84,1.94,237.3,-203.92,125.18
867,1715374777.378925,-2.61,-1.91,-0.4,237.3,-203.92,125.18
870,1715374777.382803,-2.61,-1.91,-0.4,443.6,-177.31,355.22
897,1715374777.417874,-0.24,-3.18,-2.57,395.57,-139.4,609.62
927,1715374777.457268,0.68,-3.7,-2.13,395.57,-139.4,609.62
928,1715374777.458565,0.68,-3.7,-2.13,224.06,-162.35,549.26
956,1715374777.494904,1.03,-4.12,-1.27,227.84,-50.29,590.27
986,1715374777.533514,0.87,-3.59,-0.44,215.15,113.71,585.27
1017,1715374777.574925,0.02,-2.86,-0.1,148.56,69.34,471.8
1045,1715374777.611372,-0.29,-2.71,0.05,51.57,-47.0,413.15
1077,1715374777.652678,0.25,-2.46,-0.04,46.26,13.31,439.03
1106,1715374777.690073,2.07,-2.87,-0.38,-17.52,-27.34,361.27
1136,1715374777.728818,3.38,-3.19,-0.93,-17.52,-27.34,361.27
1138,1715374777.73152,3.38,-3.19,-0.93,-61.16,96.86,353.39
1166,1715374777.768223,7.02,-4.33,-1.66,-6.41,-20.2,226.07
1195,1715374777.805806,3.77,-5.16,-0.92,-6.41,-20.2,226.07
1197,1715374777.808398,3.77,-5.16,-0.92,-32.04,135.44,-225.89
1231,1715374777.852314,1.39,-4.73,-0.57,23.07,164.06,-259.77
1256,1715374777.884361,1.12,-3.96,-0.27,118.16,135.01,-354.55
1285,1715374777.921953,0.36,-2.95,-0.18,187.13,124.15,-380.19
1316,1715374777.962148,-0.08,-2.76,-0.41,253.3,60.85,-428.04
1346,1715374778.001192,-0.46,-2.74,-0.63,193.85,-20.81,-506.29
1375,1715374778.038854,-0.18,-2.57,-0.38,100.46,-95.83,-509.77
1405,1715374778.078044,0.13,-2.52,-0.37,100.46,-95.83,-509.77
1407,1715374778.080602,0.13,-2.52,-0.37,58.9,-101.2,-540.65
1433,1715374778.114718,0.19,-2.37,-0.47,58.9,-101.2,-540.65
1435,1715374778.117276,0.19,-2.37,-0.47,11.66,17.88,-436.4
1462,1715374778.153706,0.08,-2.2,-0.41,11.66,17.88,-436.4
1463,1715374778.154999,0.08,-2.2,-0.41,3.91,109.37,-358.76
1495,1715374778.19599,-0.36,-1.74,-0.6,-5.8,82.21,-350.1
1522,1715374778.23085,-1.21,-0.85,-0.64,-77.76,4.15,-337.65
1554,1715374778.272006,-4.78,0.81,-0.55,-77.76,4.15,-337.65
1555,1715374778.273295,-4.78,0.81,-0.55,-174.26,-133.12,-427.06
1581,1715374778.30688,-5.16,0.57,1.94,-174.26,-133.12,-427.06
1582,1715374778.308184,-5.16,0.57,1.94,-98.82,6.1,-54.44
1613,1715374778.348784,-5.38,0.51,1.6,100.1,-91.0,142.33
1640,1715374778.384053,-3.19,-1.19,0.25,189.45,-247.56,299.32
1669,1715374778.421438,-1.09,-3.02,-1.13,271.3,-207.21,467.9
1699,1715374778.461346,0.66,-3.98,-1.44,214.97,-212.59,514.83
1728,1715374778.499363,1.08,-4.02,-1.45,214.97,-212.59,514.83
1729,1715374778.500664,1.08,-4.02,-1.45,257.08,-68.24,536.62
1758,1715374778.538018,1.04,-3.74,-0.92,164.73,12.76,533.26
1787,1715374778.575743,0.85,-3.35,-0.06,164.73,12.76,533.26
1788,1715374778.577068,0.85,-3.35,-0.06,117.8,94.24,497.86
1817,1715374778.614591,0.26,-3.01,0.06,117.8,94.24,497.86
1818,1715374778.61589,0.26,-3.01,0.06,78.12,172.18,520.45
1846,1715374778.652223,-0.14,-2.68,0.32,78.12,172.18,520.45
1847,1715374778.653509,-0.14,-2.68,0.32,6.96,152.1,506.04
1876,1715374778.691196,0.42,-3.02,-0.56,6.96,152.1,506.04
1879,1715374778.694961,0.42,-3.02,-0.56,-83.98,-224.37,397.83
1905,1715374778.728913,3.95,-3.41,-0.94,-83.98,-224.37,397.83
1907,1715374778.731518,3.95,-3.41,-0.94,-29.24,-86.18,332.89
1936,1715374778.769374,5.76,-4.06,-2.28,32.23,38.02,293.27
1966,1715374778.808686,5.2,-4.56,-2.08,32.23,38.02,293.27
1969,1715374778.812603,5.2,-4.56,-2.08,-112.43,-15.38,-334.59
1995,1715374778.846325,1.55,-5.08,-0.57,-11.11,295.04,-220.58
2024,1715374778.884398,1.37,-4.47,-0.44,93.75,193.91,-294.19
2053,1715374778.922275,0.83,-3.39,-0.34,93.75,193.91,-294.19
2054,1715374778.923764,0.83,-3.39,-0.34,162.6,153.14,-374.02
2081,1715374778.958686,0.19,-2.72,-0.25,195.13,71.66,-430.11
2111,1715374778.997702,-0.2,-2.61,-0.42,174.68,-18.62,-524.54
2140,1715374779.03576,-0.15,-2.7,-0.32,174.68,-18.62,-524.54
2141,1715374779.037065,-0.15,-2.7,-0.32,121.95,-5.37,-516.05
2170,1715374779.07567,-0.05,-2.32,-0.43,121.95,-5.37,-516.05
2172,1715374779.078709,-0.05,-2.32,-0.43,72.57,-4.7,-475.4
2199,1715374779.114012,0.35,-2.32,-0.35,-28.99,-57.25,-496.64
2233,1715374779.157955,0.42,-2.41,-0.46,-24.78,41.69,-415.47
2259,1715374779.191188,0.09,-2.1,-0.69,-23.99,115.72,-344.79
2289,1715374779.230143,-1.06,-1.32,-0.63,-23.99,115.72,-344.79
2290,1715374779.23147,-1.06,-1.32,-0.63,-60.12,16.11,-357.73
2316,1715374779.26568,-3.07,0.52,0.52,-60.12,16.11,-357.73
2320,1715374779.270856,-3.07,0.52,0.52,-108.22,-14.59,-230.16
2347,1715374779.30578,-5.35,1.16,1.23,-23.74,-155.15,-130.55
2376,1715374779.343438,-5.35,1.33,0.92,60.55,-149.6,94.85
2407,1715374779.38354,-3.91,0.13,0.37,60.55,-149.6,94.85
2408,1715374779.384827,-3.91,0.13,0.37,94.97,-234.19,264.22
2437,1715374779.422835,-1.77,-2.31,-0.63,178.83,-385.93,364.62
2466,1715374779.460493,-0.29,-3.76,-1.78,178.83,-385.93,364.62
2472,1715374779.468205,-0.29,-3.76,-1.78,282.35,-353.82,376.04
2498,1715374779.501348,0.59,-3.83,-2.0,300.11,-246.89,445.98
2533,1715374779.547007,0.81,-3.64,-1.36,254.7,-174.26,404.36
2556,1715374779.576884,1.0,-3.27,-0.76,243.16,-36.32,399.35
2589,1715374779.621048,0.67,-2.93,-0.15,206.42,168.46,447.33
2615,1715374779.654995,0.33,-2.66,0.02,163.15,207.82,495.97
2644,1715374779.69273,0.54,-2.27,-0.39,43.21,194.89,531.8
2674,1715374779.731065,2.21,-2.9,-0.22,43.21,194.89,531.8
2676,1715374779.733667,2.21,-2.9,-0.22,-4.21,2.26,360.6
2705,1715374779.770897,3.2,-3.46,-0.17,65.37,508.42,563.96
2734,1715374779.80833,2.84,-6.05,0.27,-117.98,157.47,464.05
2764,1715374779.847509,2.13,-6.01,0.41,215.03,94.54,-332.09
2796,1715374779.888702,-0.27,-5.11,0.77,133.12,65.73,-358.22
2823,1715374779.923374,-0.05,-4.11,0.25,340.94,142.88,-99.61
2853,1715374779.962264,-0.5,-2.94,0.09,340.94,142.88,-99.61
2854,1715374779.963584,-0.5,-2.94,0.09,352.6,-30.94,-287.23
2882,1715374780.000025,-0.74,-2.68,-0.14,352.6,-30.94,-287.23
2884,1715374780.002721,-0.74,-2.68,-0.14,374.21,-86.55,-334.17
2913,1715374780.040309,-0.98,-2.54,-0.69,374.21,-86.55,-334.17
