id,timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,1715373847.848423,-0.25,-0.35,0.97,13.67,-14.04,-20.32
8,1715373847.859403,-0.15,-0.2,1.02,9.09,-12.57,-14.28
37,1715373847.898217,-0.18,-0.3,1.24,17.88,1.46,-27.4
67,1715373847.937166,-0.18,-0.52,1.23,67.14,33.57,-5.19
90,1715373847.967143,-0.09,-0.18,1.75,67.14,33.57,-5.19
92,1715373847.969806,-0.09,-0.18,1.75,34.67,107.36,26.18
120,1715373848.007355,-0.75,-0.4,0.98,34.67,107.36,26.18
121,1715373848.008672,-0.75,-0.4,0.98,90.03,342.35,36.56
149,1715373848.045757,-0.71,-0.29,1.72,90.03,342.35,36.56
151,1715373848.048188,-0.71,-0.29,1.72,193.3,173.03,111.94
177,1715373848.083718,-0.79,-0.52,1.63,124.21,356.57,165.59
207,1715373848.123729,-1.51,0.25,0.54,81.85,285.4,282.29
235,1715373848.160357,-1.11,0.17,0.94,81.85,285.4,282.29
236,1715373848.161674,-1.11,0.17,0.94,112.73,190.37,298.4
263,1715373848.199404,-1.13,0.02,0.47,58.04,284.55,297.49
289,1715373848.237452,-0.61,0.41,0.11,58.04,284.55,297.49
291,1715373848.240113,-0.61,0.41,0.11,54.32,161.38,370.18
318,1715373848.276028,-0.33,0.42,0.2,62.13,118.84,326.11
346,1715373848.314455,-0.19,0.24,-0.11,38.02,126.16,308.72
375,1715373848.352732,0.2,0.61,0.03,38.02,126.16,308.72
376,1715373848.35405,0.2,0.61,0.03,22.34,89.48,297.79
405,1715373848.392115,0.06,0.29,-0.09,22.34,89.48,297.79
407,1715373848.394821,0.06,0.29,-0.09,0.18,117.43,284.61
433,1715373848.430379,0.41,0.52,0.13,-37.66,71.84,284.85
456,1715373848.467553,0.53,0.5,0.24,1.65,94.12,248.29
484,1715373848.505551,0.72,0.25,-0.07,1.65,94.12,248.29
486,1715373848.508267,0.72,0.25,-0.07,15.14,107.85,226.07
513,1715373848.543685,1.08,0.33,0.08,-6.77,77.58,185.06
542,1715373848.583247,0.91,0.18,0.22,-11.78,73.61,158.14
571,1715373848.62265,1.11,0.33,0.19,-16.54,65.0,141.91
600,1715373848.660879,1.03,0.26,0.23,-22.71,41.5,100.83
631,1715373848.701212,1.05,0.26,0.31,-22.77,41.93,100.77
658,1715373848.737472,1.42,0.04,0.41,0.79,21.06,44.74
688,1715373848.777252,1.71,-0.12,0.44,2.81,4.09,-7.63
717,1715373848.815643,1.76,-0.03,0.55,50.72,-8.36,-122.56
745,1715373848.852924,1.23,-0.1,0.73,50.72,-8.36,-122.56
746,1715373848.854295,1.23,-0.1,0.73,84.96,-30.64,-187.56
774,1715373848.892497,1.22,0.34,0.14,79.53,-43.15,-213.68
807,1715373848.936382,0.87,0.31,0.14,58.9,-104.8,-295.53
829,1715373848.968439,0.6,0.38,0.06,58.9,-104.8,-295.53
851,1715373848.998341,0.6,0.38,0.06,18.68,-108.15,-268.07
860,1715373849.011566,0.5,0.58,0.01,15.5,-127.69,-322.33
885,1715373849.047138,-0.06,0.32,0.25,-14.59,-122.62,-300.66
915,1715373849.088528,-0.06,0.78,0.03,18.68,-58.72,-268.13
940,1715373849.122852,-0.23,0.42,0.15,2.87,-100.1,-312.68
968,1715373849.160071,-0.67,0.46,-0.01,2.87,-100.1,-312.68
969,1715373849.161438,-0.67,0.46,-0.01,9.22,8.73,-217.29
997,1715373849.199368,-0.3,0.65,0.09,9.22,8.73,-217.29
998,1715373849.200696,-0.3,0.65,0.09,-21.06,-209.72,-208.31
1025,1715373849.237034,-1.04,0.2,0.14,-21.06,-209.72,-208.31
1026,1715373849.238691,-1.04,0.2,0.14,-10.07,69.7,-235.41
1055,1715373849.277496,-0.52,0.56,-0.07,-3.6,-209.78,-144.04
1083,1715373849.3152,-1.06,0.14,0.31,-18.49,43.82,-252.75
1111,1715373849.353612,-0.98,0.19,-0.04,-10.25,-128.42,-134.16
1136,1715373849.391125,-0.89,0.23,0.54,-10.25,-128.42,-134.16
1137,1715373849.392464,-0.89,0.23,0.54,-36.93,21.36,-209.11
1164,1715373849.430799,-1.4,-0.07,0.06,-19.23,-14.1,-158.94
1192,1715373849.469309,-0.88,0.16,0.75,-5.68,-136.96,-120.48
1219,1715373849.508218,-1.48,-0.26,0.31,-5.68,-136.96,-120.48
1221,1715373849.510891,-1.48,-0.26,0.31,-32.41,48.58,-187.5
1248,1715373849.54797,-1.03,-0.01,0.57,7.51,-108.83,-87.28
1276,1715373849.586731,-0.95,-0.09,0.76,-6.16,-8.18,-166.63
1303,1715373849.624754,-2.02,-0.66,0.54,17.15,-16.6,-104.61
1326,1715373849.66286,-1.26,-0.32,0.67,17.15,-16.6,-104.61
1328,1715373849.665757,-1.26,-0.32,0.67,14.34,5.37,18.37
1355,1715373849.703995,-1.54,-0.53,0.5,10.93,64.27,31.98
1382,1715373849.740527,-1.57,-0.48,0.54,17.94,50.9,173.22
1409,1715373849.778093,-1.3,-0.19,0.5,17.94,50.9,173.22
1410,1715373849.779557,-1.3,-0.19,0.5,16.17,34.18,198.49
1439,1715373849.818764,-1.4,-0.18,0.51,14.53,52.06,199.28
1466,1715373849.857122,-1.29,-0.08,0.38,26.12,31.01,250.24
1493,1715373849.895334,-1.03,0.04,0.42,29.05,36.13,255.0
1519,1715373849.933384,-0.96,0.04,0.17,21.36,69.58,269.35
1546,1715373849.971872,-0.63,0.24,0.31,12.33,72.08,300.84
1574,1715373850.011233,-0.5,0.31,0.1,11.78,146.55,286.8
1601,1715373850.048763,-0.28,0.41,-0.03,-11.6,66.96,299.8
1628,1715373850.085781,-0.07,0.52,0.14,-11.6,66.96,299.8
1629,1715373850.087202,-0.07,0.52,0.14,-16.6,94.36,286.19
1656,1715373850.12576,0.14,0.58,-0.03,-19.04,55.79,258.48
1685,1715373850.164665,0.37,0.65,0.16,-26.55,71.9,255.31
1711,1715373850.204089,0.35,0.64,-0.06,-26.55,71.9,255.31
1716,1715373850.210697,0.35,0.64,-0.06,-14.65,79.71,210.75
1762,1715373850.274908,0.38,0.56,0.05,-45.23,70.01,219.3
1771,1715373850.290868,0.77,0.51,0.45,-42.6,58.47,213.93
1793,1715373850.32061,0.9,0.28,0.52,-36.8,63.48,211.24
1831,1715373850.371007,1.12,0.25,0.42,-17.82,69.15,187.74
1850,1715373850.39633,0.89,0.15,0.41,-17.82,69.15,187.74
1856,1715373850.404427,0.89,0.15,0.41,-10.86,67.81,163.64
1871,1715373850.425428,0.83,0.15,0.31,-27.53,66.35,183.11
1896,1715373850.463113,1.16,0.3,0.52,-54.93,45.78,169.86
1922,1715373850.503176,1.41,0.17,0.57,-54.93,45.78,169.86
1924,1715373850.505894,1.41,0.17,0.57,-35.83,14.65,94.97
1943,1715373850.532206,1.3,-0.08,0.6,-41.08,-17.33,36.62
1971,1715373850.570326,1.46,-0.03,0.59,-41.08,-17.33,36.62
1972,1715373850.571646,1.46,-0.03,0.59,-4.09,-7.57,-24.41
2000,1715373850.609249,1.33,-0.04,0.58,-4.09,-7.57,-24.41
2001,1715373850.610572,1.33,-0.04,0.58,26.25,-30.03,-105.22
2029,1715373850.648733,1.1,-0.11,0.46,36.07,-26.49,-139.47
2056,1715373850.684952,1.41,0.2,0.55,36.07,-26.49,-139.47
2057,1715373850.686136,1.41,0.2,0.55,42.79,-53.1,-178.96
2088,1715373850.727446,1.14,-0.04,0.44,57.56,-60.0,-270.45
2115,1715373850.763958,1.06,0.29,0.45,35.16,-88.68,-284.24
2143,1715373850.801293,0.85,0.36,0.33,57.31,-106.93,-371.7
2172,1715373850.840045,-0.0,0.21,0.39,57.31,-106.93,-371.7
2174,1715373850.842736,-0.0,0.21,0.39,37.05,-80.51,-340.21
2203,1715373850.881001,0.02,0.49,0.13,54.87,-65.61,-331.79
2231,1715373850.918122,-0.39,0.45,0.27,27.77,-78.19,-292.85
