id,timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,1715374111.714779,0.23,0.83,0.57,62.44,-19.17,10.99
9,1715374111.726857,0.34,0.87,0.77,62.44,-19.17,10.99
11,1715374111.72955,0.34,0.87,0.77,12.27,-11.84,14.65
40,1715374111.770499,0.39,0.79,0.65,-8.3,17.7,-15.75
66,1715374111.803761,0.99,0.08,1.69,-8.3,17.7,-15.75
67,1715374111.805035,0.99,0.08,1.69,18.37,15.38,-41.75
97,1715374111.843281,0.05,1.17,0.26,18.37,15.38,-41.75
100,1715374111.847102,0.05,1.17,0.26,87.4,130.86,-17.46
128,1715374111.882905,0.48,1.16,0.34,72.75,-81.67,-147.16
156,1715374111.918854,0.03,1.08,0.5,72.75,-81.67,-147.16
157,1715374111.920154,0.03,1.08,0.5,124.45,-160.77,41.69
186,1715374111.957646,0.16,0.83,0.08,124.45,-160.77,41.69
187,1715374111.958929,0.16,0.83,0.08,79.04,-166.26,15.38
216,1715374111.99704,0.55,1.16,0.77,79.04,-166.26,15.38
217,1715374111.998422,0.55,1.16,0.77,197.57,-124.21,69.58
246,1715374112.036178,0.15,0.9,0.58,197.57,-124.21,69.58
249,1715374112.040018,0.15,0.9,0.58,-66.47,-22.71,-47.61
276,1715374112.074777,0.47,1.02,-0.06,51.76,-95.58,-60.49
306,1715374112.113547,0.48,1.19,0.52,-29.11,-65.49,9.83
335,1715374112.151157,0.54,0.11,0.25,-25.27,25.7,-79.1
365,1715374112.190325,0.56,0.73,0.8,-85.82,-37.17,2.26
392,1715374112.228389,0.43,0.57,0.96,-54.14,102.66,-150.39
419,1715374112.267058,0.16,0.16,0.98,-54.14,102.66,-150.39
421,1715374112.26961,0.16,0.16,0.98,-127.08,-37.96,-155.64
449,1715374112.3053,0.06,0.27,1.18,-23.99,-74.28,-11.9
478,1715374112.343297,-0.13,0.47,1.27,-78.0,-26.31,18.49
508,1715374112.381991,-0.01,0.59,1.1,-21.97,34.97,18.68
537,1715374112.419424,-0.04,0.41,1.04,-21.97,34.97,18.68
539,1715374112.422013,-0.04,0.41,1.04,12.08,21.12,77.94
567,1715374112.458246,0.07,0.12,1.46,12.08,21.12,77.94
568,1715374112.459527,0.07,0.12,1.46,25.57,96.86,71.9
598,1715374112.49824,0.22,0.05,1.14,12.39,103.09,100.28
626,1715374112.534111,0.37,0.08,1.34,12.39,103.09,100.28
628,1715374112.536472,0.37,0.08,1.34,-57.74,61.89,128.42
648,1715374112.573613,0.46,0.39,1.38,-57.74,61.89,128.42
