id,timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,1715374715.071926,0.84,-0.55,0.2,62.62,23.74,-31.31
9,1715374715.083911,0.76,-0.48,0.31,77.88,-13.92,-36.01
37,1715374715.120866,0.79,-0.45,0.36,54.63,11.6,-29.6
67,1715374715.159572,0.84,-0.39,0.33,10.68,22.03,-18.19
96,1715374715.196669,0.78,-0.48,0.33,10.68,22.03,-18.19
98,1715374715.19932,0.78,-0.48,0.33,-7.57,26.61,-27.16
126,1715374715.235563,0.7,-0.58,0.25,-5.19,18.31,-8.0
155,1715374715.273561,0.67,-0.55,0.18,-8.3,8.12,17.15
178,1715374715.303699,0.57,-0.52,0.05,-18.62,2.5,22.22
208,1715374715.342525,0.45,-0.53,-0.15,-46.14,-0.49,37.72
239,1715374715.383053,0.37,-0.61,-0.24,-90.82,-16.72,51.57
268,1715374715.420644,0.34,-0.69,-0.18,-90.82,-16.72,51.57
270,1715374715.423216,0.34,-0.69,-0.18,-139.16,-28.08,75.2
302,1715374715.464593,0.42,-0.78,-0.22,-182.68,-38.51,103.03
327,1715374715.497781,0.89,-0.92,-0.1,-192.75,-72.2,116.09
364,1715374715.54591,1.34,-0.87,0.0,-98.21,-121.22,86.0
384,1715374715.574305,1.41,-1.04,0.24,-88.93,-66.59,48.34
441,1715374715.648746,1.42,-1.08,0.21,-115.91,32.1,50.48
443,1715374715.651308,1.57,-1.04,0.42,-115.91,32.1,50.48
445,1715374715.653897,1.57,-1.04,0.42,-114.5,78.98,19.59
474,1715374715.691622,1.48,-0.85,0.77,-83.56,109.56,-7.32
503,1715374715.729738,1.39,-0.46,0.82,-17.52,121.4,-45.1
533,1715374715.768428,1.25,-0.31,0.91,-17.52,121.4,-45.1
534,1715374715.769717,1.25,-0.31,0.91,78.86,74.77,-142.64
563,1715374715.807728,1.11,-0.04,0.98,69.95,169.07,-137.94
592,1715374715.846053,1.08,0.13,0.77,69.95,169.07,-137.94
594,1715374715.848669,1.08,0.13,0.77,83.13,242.92,-138.55
621,1715374715.883846,1.26,-0.27,0.79,83.13,242.92,-138.55
623,1715374715.886434,1.26,-0.27,0.79,198.36,215.09,-177.98
652,1715374715.923876,1.89,-0.36,0.81,164.79,328.19,-185.73
682,1715374715.962433,2.3,-0.92,1.08,226.14,290.34,-273.19
713,1715374716.002633,2.69,-1.15,1.96,226.44,333.01,-259.7
743,1715374716.041103,2.04,-1.08,0.6,401.31,192.08,-290.22
770,1715374716.076367,0.66,-0.84,-0.53,401.31,192.08,-290.22
771,1715374716.07773,0.66,-0.84,-0.53,526.67,-82.46,-350.59
799,1715374716.11436,-1.21,-1.18,-0.47,526.67,-82.46,-350.59
801,1715374716.116915,-1.21,-1.18,-0.47,407.78,-178.96,-223.33
829,1715374716.153203,-1.56,-1.67,-0.97,-115.11,135.8,291.2
859,1715374716.191947,0.42,-1.56,-0.83,-115.11,135.8,291.2
860,1715374716.193245,0.42,-1.56,-0.83,-277.4,67.57,547.73
889,1715374716.231398,1.19,-1.13,-0.7,-277.4,67.57,547.73
891,1715374716.234041,1.19,-1.13,-0.7,-119.87,-193.18,438.54
918,1715374716.26951,1.0,-0.96,-0.36,-119.87,-193.18,438.54
